"","x"
"970",759587
"971",759586
"972",759585
"973",759584
"974",759583
"975",759568
"976",759567
"977",759288
"978",758487
"979",758486
"980",758485
"981",758259
"982",758258
"983",757904
"984",757499
"985",757498
"986",757483
"987",757482
"988",757481
"989",757480
"990",757479
"991",757478
"992",757477
"993",757476
"994",757475
"995",757474
"996",757473
"997",757472
"998",757471
"999",757470
"1000",757469
"1001",756834
"1002",756833
"1003",756832
"1004",756831
"1005",756733
"1006",756732
"1007",756731
"1008",756730
"1009",756729
"1010",756728
"1011",756727
"1012",756726
"1013",756725
"1014",756724
"1015",756723
"1016",756722
"1017",756721
"1018",756720
"1019",756719
"1020",756633
"1021",756632
"1022",756631
"1023",756630
"1024",756629
"1025",756628
"1026",756627
"1027",756519
"1028",755923
"1029",755922
"1030",755921
"1031",755920
"1032",755919
"1033",755918
"1034",755917
"1035",755916
"1036",755915
"1037",755914
"1038",755913
"1039",755912
"1040",755906
"1041",755905
"1042",755904
"1043",755492
"1044",755491
"1045",755490
"1046",755489
"1047",755488
"1048",755487
"1049",755486
"1050",755485
"1051",755484
"1052",755301
"1053",755300
"1054",755299
"1055",755298
"1056",755272
"1057",755190
"1058",755163
"1059",755161
"1060",755160
"1061",755159
"1062",755158
"1063",755015
"1064",755014
"1065",755013
"1066",755012
"1067",755011
"1068",755010
"1069",754893
"1070",754892
"1071",754870
"1072",754599
"1073",754598
"1074",754597
"1075",754596
"1076",754595
"1077",754594
"1078",754593
"1079",754592
"1080",754591
"1081",754590
"1082",754589
"1083",754588
"1084",754558
"1085",754557
"1086",754556
"1087",754468
"1088",754308
"1089",754307
"1090",754306
"1091",754305
"1092",754304
"1093",754303
"1094",754302
"1095",754301
"1096",754300
"1097",754299
"1098",754298
"1099",754297
"1100",754296
"1101",754295
"1102",754294
"1103",754163
"1104",754019
"1105",753896
"1106",753895
"1107",753894
"1108",753893
"1109",753892
"1110",753891
"1111",753890
"1112",753889
"1113",753759
"1114",753615
"1115",753601
"1116",753584
"1117",753469
"1118",753240
"1119",752935
"1120",752854
"1121",752853
"1122",752781
"1123",752780
"1124",752779
"1125",752720
"1126",752719
"1127",751531
"1128",751530
"1129",751528
"1130",749677
